Дата проведения,Название выставки,Клуб-организатор
14-15 декабря 2013г.,«РОЖДЕСТВО В КЭТСВИЛЕ»,Cat'sVille ;
14-15 декабря 2013г.,«ЗИМНЕЕ КРУЖЕВО»,"КЛК ""Комильфо"";"
7-8 декабря 2013г.,«КУБОК БЕЛОГО ГОРОДА»,Кошки Белогорья ;
7-8 декабря 2013г.,«ВСТРЕЧИ ДРУЗЕЙ»,ДРПФЦ Алиса ;
7 декабря 2013г.,«НОВОГОДНИЙ    СЕРПАНТИН»,"Донецкий КЛК ""ВЛАДМИНЕС"";"
7-8 декабря 2013г.,«УРАЛЬСКИЙ ГЛАМУРР»,Абинякина С.А & Ko ;
7-8 декабря 2013г.,«КУБОК FARUS»,"КЛК ""Маргоша Кэт"";"
7-8 декабря 2013г.,«КУБОК ПРИАЗОВЬЯ-2013»,КЛК «ГРАНД ФЕЛИС БАСТ»;
7-8 декабря 2013г.,«ГРАН-ПРИ ROYAL CANIN»,"Royal Canin и клубы: РосКош, Bageera Cat Club, Кэт Стронг, Felidae, Moscow Cat Fanciers.;"
7-8 декабря 2013г.,«BABY SALON ASIA 2013»,Фелинологический клуб «АЗИЯ» ;
7-8 декабря 2013г.,«ЗИМНЯЯ СКАЗКА»,ОО СКЛК «Дивные кошки»;
7-8 декабря 2013г.,«МEЖДУНАРОДНЫЙ ЧЕМПИОНАТ MASTER CAT»,Фелинологический племенной клуб «СУЗИРЬЯ»;
30 ноября - 1 декабря 2013г.,«ФЕЛИНОЛОГИЧЕСКИЙ АЛЬЯНС УКРАИНЫ  »,Фелинологический Альянс Украины  ;
30 ноября - 1 декабря 2013г.,«MAGIC 8»,Магия кошек;
30 ноября - 1 декабря 2013г.,«ФЕСТИВАЛЬ UNION CATS»,Фелинологический клуб  «Union Cats»;
30 ноября - 1 декабря 2013г.,«ОСЕННИЙ КЭТ-САЛОН»,"клуб любителей кошек ""Москва"";"
30 ноября - 1 декабря 2013г.,«ЗИМНЯЯ СКАЗКА»,КЛК Маркиза ;
30 ноября - 1 декабря 2013г.,«ВЕСЕЛАЯ ИГРА»,Фелинологический клуб «ТРИУМФ» ;
30 ноября 2013г.,«ПРЯНИЧНЫЕ КОШКИ»,"Клуб любителей кошек ""МИКС"";"
30 ноября - 1 декабря 2013г.,«АЛИСА-БЕСТ»,"Клуб любителей кошек ""Алиса-Бест"";"
24 ноября 2013г.,«АМИГО-2013»,МООЛЖ АМИГО;
23 ноября 2013г.,«БРЯНСКИЕ ПРОСТОРЫ 2013»,"ФЦ ""ГЕРБЕР-КЭТ"";"
23-24 ноября 2013г.,«25 ЛЕТ БФЦ ФЕЛИТА»,"Белорусский Фелинологический Центр ""Фелита"";"
23-24 ноября 2013г.,«WAXFLOWER»,Восковой цветок;
23-24 ноября 2013г.,«СЕРЕБРЯНЫЙ ЮБИЛЕЙ WCF»,Ассоциация клубов любителей кошек «Котофей»;
17 ноября 2013г.,«ОСЕНЬ ГЛАЗАМИ КОШКИ-II»,"клуб любителей кошек ""Фэнси Кэт"";"
17 ноября 2013г.,«КОШКИ - ПЯТЫЙ ЭЛЕМЕНТ ФАНТАЗИИ СТИХИЙ»,Фелинологический Племенной Центр «ЦАРСТВО КОШЕК»;
16-17 ноября 2013г.,«ADVANCED CATS 2013»,Клуб любителей кошек «Advance»;
16-17 ноября 2013г.,«ЛУННЫЙ КОТ»,Донецкий фелинологический племенной центр «Лунный кот» ;
16-17 ноября 2013г.,«CFA CAT SHOW»,Rolandus Cat Club (CFA);
16-17 ноября 2013г.,«ЗОЛОТАЯ ОСЕНЬ - 2013»,МОКЛК Валенсия ;
16-17 ноября 2013г.,«MUR CAT SHOW 2013»,"MurCat Club ICU,;"
16-17 ноября 2013г.,«VIP SHOW 2013»,КЛК «БИСЕР»;
16-17 ноября 2013г.,«ПЕРВЫЙ СНЕГ»,Клуб кошек «ФАУНА»;
16-17 ноября 2013г.,«ПРЕКРАСНАЯ НЕЗНАКОМКА»,"Клуб любителей кошек ""Прекрасная незнакомка"";"
10 ноября 2013г.,«ЕНИСЕЙСКИЙ МЕРИДИАН»,Ковчег ;
10 ноября 2013г.,«ОСКОЛЬСКАЯ НИКА 2013»,Клуб Любителей Кошек NIKA CENTER;
9-10 ноября 2013г.,«АК БАРС»,АК БАРС;
9-10 ноября 2013г.,«МИНИСТЕРСТВО КОШАЧЬИХ ДЕЛ»,"КЛК ""Марципанка"";"
9-10 ноября 2013г.,«КУБОК DENNIS - ОСЕНЬ»,Клуб Dennis;
9 ноября 2013г.,«КОШКИ ЦВЕТА ОСЕНИ»,КЛК «Элит» (МФА);
9-10 ноября 2013г.,«AUTUMN CAT'S SHOW!»,Фелинологический Клуб «VERITAS-CATS»;
9-10 ноября 2013г.,«КУБОК ПЛЕСКАВЫ 2013»,Клуб Любителей Кошек «Плескава»;
9-10 ноября 2013г.,«АЛИСАБЕСТ»,"Клуб любителей кошек Рязани ""АлисаБест"";"
9-10 ноября 2013г.,«БАШКИРСКАЯ ОСЕНЬ-2013»,Региональная Общественная Организация Куб Любителей Животных ИРЕМЕЛЬ;
3-4 ноября 2013г.,«КАМЕЯ»,"Клуб ""Камея"";"
2-3 ноября 2013г.,«КУБОК ТАШИРО 2013»,"ДОНЕЦКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ФЕЛИНОЛОГИЧЕСКАЯ ОРГАНИЗАЦИЯ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""ТАШИРО"";"
2-3 ноября 2013г.,«ROYAL FELINE»,Фелинологический Союз Украины и КФПЦ Royal Feline ;
2-3 ноября 2013г.,«PERSONA-SHOW-IX»,Клуб «Persona-Cat»;
2-3 ноября 2013г.,«CATS ФОРУМ-2013»,ЗООМИР;
2-3 ноября 2013г.,«МАГИЯ КOШЕК»,Клуб Любителей Кошек «Аура Бест»;
2-3 ноября 2013г.,«ЗОЛОТАЯ ОСЕНЬ»,"ФПЦ ""КЭТТИ"" ;"
2-3 ноября 2013г.,«КУБОК ДРУЖБЫ»,"КЛК ""Диадема"";"
2-3 ноября 2013г.,«КОШАЧИЙ ОСКАР»,"КЛК «Диадема», КЛК «Четыре Лапки» ;"
2-3 ноября 2013г.,«ЮГОРСКИЙ МЯУ-КОНГРЕСС»,КЛЖ Легенды Севера;
2-4 ноября 2013г.,«КОТОПАТИ-2013»,Клуб любителей кошек Cher ami;
27 октября 2013г.,«КУБОК ЯКУТИИ-2013»,Северный кот;
27 октября 2013г.,«ANNUAL BEST RUSSIAN CATS AWARDS»,Chatte Noir ;
26 октября 2013г.,«ВСЕМИРНАЯ ВЫСТAВКА КОШEК ГРАН-ПРИ ПРОПЛАН»,Союз Фелинологов Казахстана клк ЖАНЫМ и клк ЗООсфера;
26-27 октября 2013г.,«ЗОЛОТОЙ ОКТЯБРЬ»,КЛК Параллель;
26-27 октября 2013г.,«КОШКИ В СТИЛЕ РЕТРО»,"Клуб любителей кошек ""ФелиСити"";"
26-27 октября 2013г.,«ОСЕННИЙ ВЕРНИСАЖ – 2013»,"Приветствую Вас Гость | RSS Уральская Региональная Общественная Фелинологическая Организация ""Грация"";"
26 октября 2013г.,«КУБОК ЧЕМПИОНОВ PRO PLAN - 2013»,"ООО ""Нестле Россия"";"
26-27 октября 2013г.,«ЭЛИТ-КЭТ»,"Нижегородский клуб ""ФОРТУНА"";"
26-27 октября 2013г.,«КУБОК ПОВОЛЖЬЯ - 2013»,КЛК «Кошкин Дом;
26-27 октября 2013г.,«ЕЖЕГОДНАЯ ОСЕННЯЯ»,"ФПК ""Регина"";"
19-20 октября 2013г.,«В ГОСТЯХ У СКАЗКИ»,"КЛК ""Кошки.RU"";"
19-20 октября 2013г.,«В ГОСТЯХ У СКАЗКИ»,Клуб  «Кошки.RU»;
19-20 октября 2013г.,«АВГУСТЕЙШАЯ ОСОБА»,"КЛК ""Августин"";"
19-20 октября 2013г.,«ЗОЛОТАЯ КОШКА РОССИИ»,"Клубы «Котофей», «Мокко», «Грация»,  и АЗМ «Cооncat»;"
19-20 октября 2013г.,«ФАБРИКА  ЗВЁЗД 2013»,TICA клуб FELIMUR;
19-20 октября 2013г.,«МЯУ-ОСЕНЬ»,"Клуб Любителей Кошек ""Funny Cat Club"";"
19-20 октября 2013г.,«ФЕЛИСИТИ »,"Клуб ""ФелиСити"";"
19-20 октября 2013г.,«ЭЛИТ ШОУ  2013»,"Клуб Любителей Кошек ""Элит"";"
12-13 октября 2013г.,«КОРОЛЕВСКИЕ КОШКИ КАВКАЗА – КАЖДАЯ КОШКА ДОСТОЙНА БРИЛЛИАНТОВ!!!»,Лига Заводчиков Северного Кавказа Региональной общественной организации Ставропольского края «Фелинологическая Ассоциация Заводчиков «Королевские Кошки»;
12-13 октября 2013г.,«КЭТ АССОРТИ ОСЕНЬ - 2013»,ФАВОРИТ КЭТ;
12-13 октября 2013г.,«ЛЮБИМЦЫ ФАРАОНА»,Клуб породистых кошек «Богема»;
12-13 октября 2013г.,«ОСЕННИЙ ЗВЕЗДОПАД В ДОНЕЦКЕ»,Донецкий  областной  КЛК «ВЛАДМИНЕС»;
12-13 октября 2013г.,«АЛИСА БЕСТ КАЗАНЬ»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК Алиса Бест;
12-13 октября 2013г.,«ПАН  КОЦЬКИЙ»,Племенной фелинологический центр       “ПАН  КОЦЬКИЙ”;
12-13 октября 2013г.,«FELIS - 25»,МФЦ «ФЕЛИС» совместно с ООО «АВС (All Breed Cats)»;
12-13 октября 2013г.,«ЛИСТОПАД»,Клуб Любителей Кошек «БАГИРА»;
12-13 октября 2013г.,«СУПЕР КУБОК СИБИРИ 2013»,ФПЦ «ZOOSTAR»;
12-13 октября 2013г.,«ИМПЕРАТОРСКИЙ РАУНД»,КЛК Империя Кошек ;
12-13 октября 2013г.,«ЗОЛОТОЙ КОТ»,Клуб любителей кошек «МРАМУР»;
12-13 октября 2013г.,««МИЛЛИОН  СЕРДЕЦ НА OKTOBERCATFEST»»,"КЛК ""Оскар"";"
6 октября 2013г.,«БАЙКАЛЬСКИЙ КОШАВЕЛЬ»,Клуб любителей кошек «СейМур»;
5-6 октября 2013г.,«КУБОК БАКУ»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОФЕЙ» И ФЕЛИНОЛОГИЧЕСКИЙ КЛУБ «КАСПИЙСКИЙ КОТ»;
5 октября 2013г.,«МИС-МЯУ ВЛАДИВОСТОКА»,Кошачье царство;
5-6 октября 2013г.,«СЕРЕБРЯНЫЙ ЮБИЛЕЙ WCF»,"Днепропетровский Центр ""Алиса"" ;"
5-6 октября 2013г.,«АМУР-ГЛАМУРР»,Клуб Любителей Кошек «Глория»;
5-6 октября 2013г.,«КУБОК СТАУТ -2013»,"КЛК Ирбис, КККЛК Кэт Лэнд Юг, ЗЦ Гарфильд ;"
5-6 октября 2013г.,«ЭКСПОКОТ»,ЗАО «Валта Пет Продактс»;
5-6 октября 2013г.,«ПАТИ В САМАРЕ»,ФЦ Самарис ;
5-6 октября 2013г.,«УДИВИТЕЛЬНЫЕ КОШКИ»,Общественная организация  Региональный кинолого-фелинологический центр «Гранд+»;
5-6 октября 2013г.,«КУБОК СИБИРСКИХ АФИН»,Клуб любителей кошек «Олимпия К» ;
28-29 сентября 2013г.,«ОСЕННИЙ БАЛ»,Клуб Любителей Кошек «Таун Кэтс»;
28-29 сентября 2013г.,«2-Й ЧЕМПИОНАТ AFC В ЧЕРНОЗЕМЬЕ + ВОРОНЕЖСКАЯ ОСЕНЬ 2013»,Воронежский клуб любителей кошек «ЛЮКС»;
28-29 сентября 2013г.,«RUI CAT SHOW В РАМКАХ    XVII ОТКРЫТОГО  ЧЕМПИОНАТА  УКРАИНЫ»,"ДОНЕЦКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК ""РОЗОВАЯ ПАНТЕРА"";"
28-29 сентября 2013г.,«ОСЕННИЙ ШАРМ»,КЛК «Премьер;
28-29 сентября 2013г.,«ЗОЛОТАЯ ОСЕНЬ ВЯТКИ»,"Фелинологический центр ""Каприз"";"
28-29 сентября 2013г.,«ЗАМУР-Р-РЧАТЕЛЬНАЯ ОСЕНЬ»,"КЛК""СУБМАРИНА"";"
28 сентября 2013г.,«КОТОМИР-ШОУ 2013»,Котомир - Новосибирский многопородный клуб любителей кошек;
28-29 сентября 2013г.,«РОСКОШНАЯ ОСЕНЬ В ПОСАДЕ»,Фелинологический клуб «Роскошные Кошки»;
28-29 сентября 2013г.,«СИМБА»,"Клуб любителей кошек ""Симба"";"
28-29 сентября 2013г.,«WINNERS' SHOW»,Харьковский племенной центр «WinnerCat» ;
22 сентября 2013г.,«ОСЕННЯЯ ФЕЕРИЯ»,"""ЖЕМЧУЖИНА СИБИРИ"";"
21-22 сентября 2013г.,«КУБОК БЕЛОГО ГОРОДА»,Клуб любителей кошек «Кошки Белогорья»;
21-22 сентября 2013г.,«ВСЕМИРНАЯ»,"московский клуб кошек ""МоККо"", общественная организация ""Коргоруши"" (Москва), фелинологический клуб  ""Камея"" из Иркутска, клуб любителей кошек ""Восток"", и Ассоциация клубов любителей кошек ""Котофей"" (Санкт;"
21-22 сентября 2013г.,«XVII ОТКРЫТИЙ ЧЕМПИОНАТ УКРАИНЫ»,"Племенной фелинологический центр ""Афина"";"
21 сентября 2013г.,«KALUGA BEST»,Kaluga Best;
21-22 сентября 2013г.,«СИБИРСКОЕ ЧУДО-2013»,Объединение Любителей Сибирских Кошек им. Т.Е. Павловой;
21-22 сентября 2013г.,«ОРЕНБУРГСКАЯ ОСЕНЬ - 2013»,"КЛК ""Евразия"";"
21-22 сентября 2013г.,«ЧЕРНЫЙ КОТ»,клуб CatExpo;
21 сентября 2013г.,«ОСЕННИЙ БАЛ КОШEК»,КЛК БАСТ ;
21 сентября 2013г.,«ROYAL CATS»,"Клуб любителей кошек ""Комильфо"";"
14-15 сентября 2013г.,«АК БАРС»,АК БАРС;
14-15 сентября 2013г.,«RUI CAT SHOW + АДЖИЛИТИ»,Rolandus Union International;
14-15 сентября 2013г.,«ФЕЛИНОЛОГИЧЕСКИЙ АЛЬЯНС УКРАИНЫ   »,Фелинологический Альянс Украины   ;
14-15 сентября 2013г.,«ОСЕНЬ В ГОРОДЕ М»,Best BY Cats;
14-15 сентября 2013г.,«ЗВЕЗДА 2013»,"Всемирный Фелинологический Центр ""АСТРА"" ;"
14-15 сентября 2013г.,«КОРОЛЕВСКАЯ ДИНАСТИЯ»,Кошкин Дом-НН;
14-15 сентября 2013г.,«ОСЕННИЙ КУБОК ПРЕСТИЖА-2013 СЕВЕРО-КАВКАЗСКОГО ФЕДЕРАЛЬНОГО ОКРУГА»,"Клуб любителей кошек ""Престиж"";"
14-15 сентября 2013г.,«ВСТРЕЧИ ДРУЗЕЙ В ОЛИМПИЙСКОМ СОЧИ»,"КЛК  ""ДИАМАНТ-КРИСТАЛЛ"" ;"
14-15 сентября 2013г.,«КУБОК БОГЕМЫ»,"Фелинологический центр ""Богема"";"
14-15 сентября 2013г.,«ОСЕННИЙ МАРАФОН»,"КЛК ""Фаворит Лайн"", СЛЖ ""Крафт"";"
14-15 сентября 2013г.,«MASTER CAT»,Фелинологический племенной клуб «СУЗИРЬЯ»;
14-15 сентября 2013г.,«КОТОФЕЙ + ЭЛЬМУР»,АКЛК «Котофей»  и  КЛЖ «ЭльМур»  ;
7-8 сентября 2013г.,«КУБОК НИЖНЕГО ПОВОЛЖЬЯ»,Мега-Центр;
7-8 сентября 2013г.,«К КОШКАМ С ЛЮБОВЬЮ»,ФПЦ «Счастливые кошки»;
7-8 сентября 2013г.,«КОШАРИКИ - ШОУ»,МОКЛК Валенсия ;
7-8 сентября 2013г.,«ПАРАД ПОРОД КОШEК»,ОКЛК «Чеширский Кот»;
7-8 сентября 2013г.,«ПАРАД ЗВЕЗД - 2013»,"CFA-Клуб ""Chatte noir"", Ассоциация СУПЕРКЭТС;"
7-8 сентября 2013г.,«КОТОВАСИЯ»,Клуб любителей кошек «Вариетта» (WACC);
7 сентября 2013г.,«СЕРЕБРЯНАЯ КОШКА-2013»,Катус;
31 августа - 1 сентября 2013г.,«ОСЕННИЙ КЭТ-САЛОН»,"клуб любителей кошек ""Москва"" ;"
31 августа - 1 сентября 2013г.,«CATS KINGDOM»,"КЛК ""Sofi"";"
24-25 августа 2013г.,«ЮЖНОЕ ОЧАРОВАНИЕ-2013»,КЛК «Маргоша Кэт»;
24-25 августа 2013г.,«ИНФОКОТ»,Crystal;
24 августа 2013г.,«ЖЕМЧУЖИНА – 2013»,МКЛК  «Жемчужина»;
24-25 августа 2013г.,«ЭКСТРА-КЭТ »,Новосибирский КЛК «Экстра-Кэт»;
